id,book_id,excerpt,spell_id,char_id
100,7,". Harry potter is dead by my hand, and no man alive can threaten me now! watch! crucio! Harry had been expecting it, knew his body would not be allowed to remain unsullied upon the",14,8
101,7,"his wand, and said, you shouldn’t have done that, as amycus spun around, Harry shouted, crucio! the death eater was lifted off his feet, he writhed through the air like a drowning man",14,1
102,7,"in his heart that it was useless, what else did you take, what else? answer me! crucio! hermione’s screams echoed off the walls upstairs, ron was half sobbing as he pounded the walls with",14,5
103,7,"the junk wall, what’s going on? Harry? mimicked crabbe, what’s going — no, potter! crucio! Harry had lunged for the tiara; crabbe’s curse missed him but hit the stone bust, which",14,18
104,7,"cling to its back, expecting to be shaken off at any moment; then he heard hermione yelling, defodio! she was helping the dragon enlarge the passageway, carving out the ceiling as it struggled upward toward",15,2
105,4,"them; it looked as though it were made of thick gray smoke : the ghost of a spell, deletrius! mr. diggory shouted, and the smoky skull vanished in a wisp of smoke, so, said",16,14
106,4,"each other’s eyes, then, at ex_actly the same time, both acted, furnunculus! Harry yelled, densaugeo! screamed malfoy, jets of light shot from both wands, hit each other in midair, and",17,16
107,7,"obliviate! cried hermione, pointing her wand first into his face, then at the floor beneath them, deprimo! she had blasted a hole in the sitting room floor, they fell like boulders, Harry still",18,2
108,4,"idea, pausing at a distance from them, he pulled out his wand, and took careful aim, diffindo! cedric’s bag split, parchment, quills, and books spilled out of it onto the floor,",19,1
109,5,". he tugged and tore at them as the brain was pulled tight against him like an octopus’s body, diffindo! yelled Harry, trying to sever the feelers wrapping them_selves tightly around ron before his eyes, but",19,1
110,6,"the old copy of advanced potion-making out of his bag and tapped the cover with his wand, muttering, diffindo! the cover fell off, he did the same thing with the brand-new book ( hermione looked scandalized",19,1
111,7,", and the old snitch on top of his clothes, then he pointed hermione’s wand at the ice, diffindo, it cracked with a sound like a bullet in the silence : the surface of the pool broke",19,1
112,7,"his jeans, leaving a deep cut, oh, i’m so sorry, ron, my hand’s shaking! diffindo! the severed ropes fell away, ron got to his feet, shaking his arms to regain feeling",19,2
113,7,"muttered Harry, tugging at the chains binding her arms, well, i’ve had a change of heart, diffindo! nothing happened, hermione, how do i get rid of these chains? wait, i’m trying",19,1
114,3,". the minuscule writing next to it read neville longbottom, Harry quickly pulled out his wand, muttered, dissendium! and shoved his bag into the statue, but before he could climb in himself, neville came",20,1
115,3,"at the map, the tiniest speech bubble had appeared next to his figure, the word inside said, dissendium, dissendium! Harry whispered, tapping the stone witch again, at once, the statue’s hump opened",20,1
116,3,"map, the tiniest speech bubble had appeared next to his figure, the word inside said, dissendium, dissendium! Harry whispered, tapping the stone witch again, at once, the statue’s hump opened wide enough",20,1
117,7,"they shot through the concealing tapestry at the bottom and spun onto the floor, hitting the opposite wall, duro! cried hermione, pointing her wand at the tapestry, and there were two loud, sickening crunches",21,2
118,2,"think getting your head cut open makes you that special, myself, crabbe and goyle were sniggering stupidly, eatslugs, malfoy, said ron angrily, crabbe stopped laughing and started rubbing his knuckles in a menacing way",92,16
119,4,"a bit bigger for you to get the idea, he said, pointing his wand at the spider, engorgio! the spider swelled, it was now larger than a tarantula, aban_doning all pretense, ron pushed",22,11
120,7,"the previous night, which hermione had since condescended to examine, and had decided was made of blackthorn, engorgio, the spider gave a little shiver, bouncing slightly in the web, Harry tried again, this",22,1
121,6,"healing spells, but it seemed rude to say this, so he stayed stock-still and closed his eyes, episkey, said tonks, Harry’s nose felt very hot, and then very cold, he raised a hand",24,19
122,6,"that, said Harry, landing beside the two girls, pointing his wand at demelza’s mouth, and saying episkey, and ginny, don’t call ron a prat, you’re not the captain of this team — well",24,1
123,7,"hermione, now performing complicated figure-of-eight movements with her wand, so ron’s dad said i could borrow it, erecto! she added, pointing her wand at the misshapen canvas, which in one fluid motion rose into",25,2
124,3,"— he had seen himself — Harry flung himself out from behind the bush and pulled out his wand, expectopatronum! he yelled, and out of the end of his wand burst, not a shapeless cloud of",26,1
125,3,". he forced himself to think of black, and only black, and began to chant : expectopatronum! expectopatronum! black gave a shudder, rolled over, and lay motionless on the ground, pale as death",26,
126,3,"a deep, rattling breath, a wave of piercing cold broke over him — expectopatronum! Harry yelled, expectopatronum! ex_pecto — but the classroom and the dementor were dissolving, … Harry was falling again through thick",26,1
